C:\Users\peter\Desktop\Touchscreen DOE\Subject Data\Children\TDOE_2_25_19.emrg2,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Age,SessionDate,Group,Block,BothSelected,ComparisonStimuli.ACC,ComparisonStimuli.RESP,ComparisonStimuli.RT,CorrectAnswer,NumericCorrectAnswer,CorrectAnswerL,CorrectAnswerR,Trial,FbMovie,LeftResponseStimulus,ResponseStimulus,RightResponseStimulus,Running,SampleStimulus
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,3,,1,Left,1231,Left,2,,,1,Moana01.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,4,,0,TimedOut,5000,Right,1,,,2,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,5,,1,Left,2531,Left,2,,,3,Moana02.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,6,,0,Left,2547,Right,1,,,4,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,7,,0,Right,3084,Left,2,,,5,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,8,,1,Left,3027,Left,2,,,6,Moana03.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,9,,0,Right,2097,Left,2,,,7,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,10,,0,Left,1931,Right,1,,,8,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,11,,0,Right,2728,Left,2,,,9,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,12,,0,Left,1466,Right,1,,,10,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,13,,0,Right,1781,Left,2,,,11,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,14,,1,Left,1998,Left,2,,,12,Moana04.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,15,,0,TimedOut,5000,Left,2,,,13,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,16,,0,Left,2147,Right,1,,,14,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,17,,0,Left,2047,Right,1,,,15,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,18,,0,Right,1523,Left,2,,,16,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,19,,0,Left,1932,Right,1,,,17,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990005,5,1/16/19,1,20,,1,Right,1464,Right,1,,,18,Trolls01.avi,,,,1,Square_Solid.png
