"","Group","Subject","ACCMovWin"
"288",1,19990017,0.6
"289",1,19990017,0.6
"290",1,19990017,0.4
"291",1,19990017,0.4
"292",1,19990017,0.6
"293",1,19990017,0.6
"294",1,19990017,0.6
"295",1,19990017,0.75
"296",1,19990017,0.75
"297",1,19990017,0.5
"298",1,19990017,0.25
"299",1,19990017,0
"300",1,19990017,0
"301",1,19990017,0
"302",1,19990017,0.2
"303",1,19990017,0.2
"304",1,19990017,0.4
"305",1,19990017,0.4
"306",1,19990017,0.4
"307",1,19990017,0.4
"308",1,19990017,0.5
"309",1,19990017,0.5
"310",1,19990017,0.5
"311",1,19990017,0.5
"312",1,19990017,0.25
"313",1,19990017,0.4
"314",1,19990017,0.2
"315",1,19990017,0.2
"316",1,19990017,0.4
"317",1,19990017,0.4
"318",1,19990017,0.4
"319",1,19990017,0.6
"320",1,19990017,0.6
"321",1,19990017,0.6
"322",1,19990017,0.6
"323",2,19990004,0.333333333333333
"324",2,19990004,0
"325",2,19990004,0
"326",2,19990004,0
"327",2,19990004,0
"328",2,19990004,0
"329",2,19990004,0.2
"330",2,19990004,0.4
"331",2,19990004,0.5
"332",2,19990004,0.5
"333",2,19990004,0.75
"334",2,19990004,0.75
"335",2,19990004,0.5
"336",2,19990004,0.4
"337",2,19990004,0.6
"338",2,19990004,0.4
"339",2,19990004,0.2
"340",2,19990004,0.4
"341",2,19990004,0.6
"342",2,19990004,0.6
"343",2,19990004,0.6
"344",2,19990004,0.6
"345",2,19990004,0.4
"346",2,19990004,0.4
"347",2,19990004,0.4
"348",2,19990004,0.4
"349",2,19990004,0.4
"350",2,19990004,0.4
"351",2,19990004,0.2
"352",2,19990004,0
"353",2,19990004,0
"354",2,19990004,0
"355",2,19990004,0
"356",2,19990004,0.5
"357",2,19990004,0.5
"358",2,19990004,0.666666666666667
"359",2,19990004,0.75
"360",2,19990004,0.8
"361",2,19990004,0.8
"362",2,19990004,1
"363",2,19990004,0.8
"364",2,19990004,0.8
"365",2,19990004,0.75
"366",2,19990004,0.666666666666667
"367",2,19990004,0.5
"368",2,19990004,0.5
"369",2,19990006,1
"370",2,19990006,0.8
"371",2,19990006,0.6
"372",2,19990006,0.4
"373",2,19990006,0.4
"374",2,19990006,0.4
"375",2,19990006,0.6
"376",2,19990006,0.8
"377",2,19990006,0.8
"378",2,19990006,0.8
"379",2,19990006,0.6
"380",2,19990006,0.4
"381",2,19990006,0.2
"382",2,19990006,0.2
"383",2,19990006,0.2
"384",2,19990006,0.2
"385",2,19990006,0.2
"386",2,19990006,0.2
"387",2,19990006,0.4
"388",2,19990006,0.2
"389",2,19990006,0.2
"390",2,19990006,0.4
"391",2,19990006,0.6
"392",2,19990006,0.6
"393",2,19990006,0.8
"394",2,19990006,0.8
"395",2,19990006,0.6
"396",2,19990006,0.6
"397",2,19990006,0.4
"398",2,19990006,0.2
"399",2,19990006,0.4
"400",2,19990006,0.4
"401",2,19990006,0.4
"402",2,19990006,0.4
"403",2,19990006,0.6
"404",2,19990006,0.6
"405",2,19990006,0.6
"406",2,19990006,0.6
"407",2,19990006,0.6
"408",2,19990006,0.4
"409",2,19990006,0.4
"410",2,19990006,0.6
"411",2,19990006,0.6
"412",2,19990006,0.6
"413",2,19990006,0.8
"414",2,19990006,0.6
"415",2,19990008,0.6
"416",2,19990008,0.8
"417",2,19990008,0.8
"418",2,19990008,0.75
"419",2,19990008,0.5
