"","Group","Subject","ACCMovWin"
"188",1,18999032,0.333333333333333
"189",1,18999032,0.5
"190",1,18999032,0.4
"191",1,18999032,0.4
"192",1,18999032,0.4
"193",1,18999032,0.6
"194",1,18999032,0.4
"195",1,18999032,0.4
"196",1,18999032,0.6
"197",1,18999032,0.6
"198",1,18999032,0.6
"199",1,18999032,0.8
"200",1,18999032,1
"201",1,18999032,1
"202",1,18999032,1
"203",1,18999032,1
"204",1,18999032,1
"205",1,18999032,1
"206",1,18999032,1
"207",1,18999032,1
"208",1,18999032,1
"209",1,18999032,1
"210",1,18999032,1
"211",1,18999032,1
"212",1,18999032,1
"213",1,18999032,1
"214",1,18999032,1
"215",1,18999032,1
"216",1,18999032,1
"217",1,18999032,1
"218",1,18999032,1
"219",1,18999032,1
"220",1,18999032,1
"221",1,18999032,1
"222",1,18999032,1
"223",1,18999032,1
"224",1,18999032,1
"225",1,18999032,1
"226",1,18999032,1
"227",1,18999032,1
"228",1,18999032,1
"229",1,18999032,1
"230",1,18999032,1
"231",1,18999034,0.75
"232",1,18999034,0.6
"233",1,18999034,0.6
"234",1,18999034,0.8
"235",1,18999034,0.8
"236",1,18999034,0.8
"237",1,18999034,1
"238",1,18999034,1
"239",1,18999034,1
"240",1,18999034,1
"241",1,18999034,1
"242",1,18999034,1
"243",1,18999034,1
"244",1,18999034,1
"245",1,18999034,1
"246",1,18999034,1
"247",1,18999034,1
"248",1,18999034,1
"249",1,18999034,1
"250",1,18999034,1
"251",1,18999034,1
"252",1,18999034,1
"253",1,18999034,0.8
"254",1,18999034,0.8
"255",1,18999034,0.8
"256",1,18999034,0.6
"257",1,18999034,0.6
"258",1,18999034,0.8
"259",1,18999034,0.8
"260",1,18999034,0.8
"261",1,18999034,0.8
"262",1,18999034,0.8
"263",1,18999034,0.8
"264",1,18999034,0.8
"265",1,18999034,0.8
"266",1,18999034,1
"267",1,18999034,1
"268",1,18999034,1
"269",1,18999034,1
"270",1,18999034,1
"271",1,18999034,1
"272",1,18999034,1
"273",1,18999034,1
"274",1,18999034,1
"275",1,18999034,1
"276",1,18999034,1
"277",1,18999038,0.2
"278",1,18999038,0.2
"279",1,18999038,0.4
"280",1,18999038,0.6
"281",1,18999038,0.8
"282",1,18999038,0.8
"283",1,18999038,1
"284",1,18999038,1
"285",1,18999038,1
"286",1,18999038,1
"287",1,18999038,1
"288",1,18999038,1
"289",1,18999038,1
"290",1,18999038,1
"291",1,18999038,1
"292",1,18999038,1
"293",1,18999038,1
"294",1,18999038,1
"295",1,18999038,1
"296",1,18999038,1
"297",1,18999038,1
"298",1,18999038,1
"299",1,18999038,1
"300",1,18999038,1
"301",1,18999038,1
"302",1,18999038,1
"303",1,18999038,1
"304",1,18999038,1
"305",1,18999038,1
"306",1,18999038,1
"307",1,18999038,1
"308",1,18999038,1
"309",1,18999038,1
"310",1,18999038,1
"311",1,18999038,1
"312",1,18999038,1
"313",1,18999038,1
"314",1,18999038,1
"315",1,18999038,0.8
"316",1,18999038,0.8
"317",1,18999038,0.8
"318",1,18999038,0.8
"319",1,18999038,0.8
"320",1,18999038,1
"321",1,18999038,1
"322",1,18999038,1
"323",1,18999042,1
"324",1,18999042,1
"325",1,18999042,1
"326",1,18999042,1
"327",1,18999042,1
"328",1,18999042,1
"329",1,18999042,1
"330",1,18999042,1
"331",1,18999042,1
"332",1,18999042,1
"333",1,18999042,1
"334",1,18999042,1
"335",1,18999042,1
"336",1,18999042,1
"337",1,18999042,1
"338",1,18999042,1
"339",1,18999042,1
"340",1,18999042,1
"341",1,18999042,1
"342",1,18999042,1
"343",1,18999042,1
"344",1,18999042,1
"345",1,18999042,1
"346",1,18999042,1
"347",1,18999042,1
"348",1,18999042,1
"349",1,18999042,1
"350",1,18999042,1
"351",1,18999042,1
"352",1,18999042,1
"353",1,18999042,0.8
"354",1,18999042,0.8
"355",1,18999042,0.6
"356",1,18999042,0.4
"357",1,18999042,0.4
"358",1,18999042,0.6
"359",1,18999042,0.6
"360",1,18999042,0.8
"361",1,18999042,1
"362",1,18999042,1
"363",1,18999042,1
"364",1,18999042,1
"365",1,18999042,1
"366",1,18999042,1
"367",1,18999042,1
"368",1,18999042,1
"369",1,18999045,0.6
"370",1,18999045,0.6
"371",1,18999045,0.8
"372",1,18999045,0.8
"373",1,18999045,1
"374",1,18999045,1
"375",1,18999045,0.8
"376",1,18999045,0.8
"377",1,18999045,0.8
"378",1,18999045,0.8
"379",1,18999045,0.8
"380",1,18999045,1
"381",1,18999045,1
"382",1,18999045,1
"383",1,18999045,1
