C:\Users\peter\Desktop\Touchscreen DOE\Subject Data\EMerge 11 26 18\TDOE_11_26_18.emrg2,,,,,,,,,,,,,
ExperimentName,Subject,Group,Buzz,Prompt,SessionDate,Block,ComparisonStimuli.ACC,ComparisonStimuli.RESP,ComparisonStimuli.RT,CorrectAnswer,NumericCorrectAnswer,FbMovie,SampleStimulus
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,25,1,Left,587,Left,2,Moana23.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,26,1,Left,947,Left,2,Moana24.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,27,1,Left,625,Left,2,Moana01.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,28,1,Left,1364,Left,2,Moana02.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,29,1,Left,570,Left,2,Moana03.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,30,1,Right,690,Right,1,Moana04.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,31,1,Left,2340,Left,2,Moana05.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,32,1,Right,763,Right,1,Moana06.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,33,1,Left,566,Left,2,Moana07.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,34,1,Right,547,Right,1,Moana08.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,35,1,Right,435,Right,1,Moana09.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,36,1,Right,452,Right,1,Moana10.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,37,1,Right,951,Right,1,Moana11.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,38,1,Left,2482,Left,2,Moana12.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,39,1,Right,641,Right,1,Moana13.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,40,1,Left,535,Left,2,Moana14.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,41,1,Right,670,Right,1,Moana15.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,42,1,Right,673,Right,1,Moana16.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,43,1,Left,537,Left,2,Moana17.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,44,1,Right,603,Right,1,Moana18.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,45,1,Right,667,Right,1,Moana19.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,46,1,Right,476,Right,1,Moana20.avi,Square_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,47,1,Left,511,Left,2,Moana21.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,48,1,Left,752,Left,2,Moana22.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,49,1,Left,741,Left,2,Moana23.avi,Circle_Solid.png
NOP_Adults_USE_Moana,18999002,2,1,2,10/3/18,50,1,Right,651,Right,1,Moana24.avi,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,1,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,2,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,3,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,4,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,5,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,6,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,7,0,Left,891,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,8,0,Right,819,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,9,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,10,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,11,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,12,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,13,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,14,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,15,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,16,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,17,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,18,0,Left,1129,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,19,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,20,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,21,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,22,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,23,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,24,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,25,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,26,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,27,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,28,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,29,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,30,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,31,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,32,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,33,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,34,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,35,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,36,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,37,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,38,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,39,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,40,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,41,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,42,1,Right,1736,Right,1,Moana01.avi,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,43,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,44,1,Left,2265,Left,2,Trolls01.avi,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,45,1,Left,1160,Left,2,Trolls02.avi,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,46,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,47,1,Right,811,Right,1,Moana02.avi,Square_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,48,1,Left,1096,Left,2,Trolls03.avi,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,49,0,Right,681,Left,2,Moana,Circle_Solid.png
DOP_Adults_USE_TLMR,18999003,1,1,2,10/3/18,50,1,Left,767,Left,2,Trolls04.avi,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,1,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,2,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,3,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,4,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,5,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,6,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,7,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,8,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,9,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,10,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,11,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,12,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,13,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,14,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,15,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,16,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,17,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,18,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,19,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,20,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,21,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,22,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,23,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,24,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,25,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,26,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,27,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,28,0,TimedOut,5000,Right,1,Trolls,Square_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,29,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,30,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,31,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,32,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
NOP_Adults_USE_Trolls,18999004,2,1,2,10/3/18,33,0,TimedOut,5000,Left,2,Moana,Circle_Solid.png
